Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#96 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]	superfamily	223104	83	375	1.02299e-05	49.2167	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#96 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]	superfamily	235410	147	337	0.000394631	44.4213	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	445285	188	572	2.62082e-27	113.889	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	223104	180	563	4.6673e-27	113.93	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	223551	179	583	5.72616e-15	76.8947	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	235410	202	382	2.8917e-05	47.1177	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	455838	184	303	7.50883e-05	43.2611	cl42493	RosB superfamily	C	 - 	Predicted Kef-type K+ transport protein, K+/H+ antiporter domain [Inorganic ion transport and metabolism]; Kef-type K+ transport system, predicted NAD-binding component [Inorganic ion transport and metabolism].
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	225802	180	431	0.00111055	42.0048	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]	superfamily	428334	170	294	0.0012977	40.9903	cl44534	AbrB superfamily	N	 - 	Transition state regulatory protein AbrB; Bacillus subtilis respond to a multitude of environmental stimuli by using transcription factors called transition state regulators (TSRs). They play an essential role in cell survival by regulating spore formation, competence, and biofilm development. AbrB is one of the most known TSRs, acting as a pleotropic regulator for over 60 different genes where it directly binds to their promoter or regulatory regions. Many other genes are indirectly controlled by AbrB since it is a regulator of other regulatory proteins, including ScoC, Abh, SinR and SigH. Hence, AbrB is considered a global regulatory protein controlling processes such as Bacillus subtilis growth and cell division as well as production of extracellular degradative enzymes, nitrogen utilization and amino acid metabolism, motility, synthesis of antibiotics and their resistant determinants, development of competence, transport systems, oxidative stress response, phosphate metabolism, cell surface components and sporulation. AbrB is a tetramer consisting of identical 94 residue monomers. Its DNA-binding function resides solely in the N-terminal domain (AbrBN) of 53 residues. Although it does not recognize a well-defined DNA base-pairing sequence, instead, it appears to target a very weak pseudo consensus nucleotide sequence, TGGNA-5bp-TGGNA, which allows it to be rather promiscuous in binding. The N-terminal domains of very similar sequences are present in two more Bacillus subtilis proteins, Abh and SpoVT. Mutagenesis studies suggest that the role of the C-terminal domain is in forming multimers.
Q#98 - >gb|KAG7212671.1|[hypothetical protein KM043_012951 [Ampulex compressa]]	superfamily	445285	116	475	1.83604e-12	68.8208	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#98 - >gb|KAG7212671.1|[hypothetical protein KM043_012951 [Ampulex compressa]]	superfamily	223104	113	534	5.53712e-11	64.6247	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#98 - >gb|KAG7212671.1|[hypothetical protein KM043_012951 [Ampulex compressa]]	superfamily	223551	115	511	0.00056878	42.2267	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	169	566	8.78697e-32	126.986	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	165	575	6.93846e-28	116.627	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223551	165	580	1.38388e-20	94.2287	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	225802	165	554	4.28365e-12	68.9687	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	235410	162	411	1.62304e-09	60.5997	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	129911	173	460	0.00160455	41.4092	cl31030	a_cpa1 superfamily	C	 - 	Na+/H+ antiporter, bacterial form; The Monovalent Cation:Proton Antiporter-1 (CPA1) Family (TC 2.A.36) The CPA1 family is a large family of proteins derived from Gram-positive and Gram-negative bacteria, blue green bacteria, yeast, plants and animals. Transporters from eukaryotes have been functionally characterized, and all of these catalyze Na+:H+ exchange. Their primary physiological functions may be in (1) cytoplasmic pH regulation, extruding the H+ generated during metabolism, and (2) salt tolerance (in plants), due to Na+ uptake into vacuoles. This model is specific for the bacterial members of this family. [Transport and binding proteins, Cations and iron carrying compounds]
Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	102	496	5.74725e-25	106.57	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	90	502	6.39458e-23	101.219	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223551	95	512	8.81088e-07	51.0863	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	235410	120	352	4.56332e-06	49.0437	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	225802	101	350	0.000384887	43.1604	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	94	488	4.28612e-25	106.57	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	82	494	5.04923e-23	101.219	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223551	87	504	7.28158e-07	51.4715	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	235410	112	344	4.34163e-06	49.4289	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	225802	93	342	0.000370088	43.1604	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#102 - >emb|CAH0726632.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	148	474	6.46355e-06	48.4052	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#102 - >emb|CAH0726632.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	122	413	0.00185153	40.7423	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#103 - >emb|CAH0726633.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	148	474	9.35156e-06	47.6348	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#103 - >emb|CAH0726633.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	122	413	0.00244582	40.3571	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	223104	142	507	3.15478e-09	58.8467	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	445285	159	484	9.27646e-09	57.2648	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	235410	148	323	1.94146e-07	53.6661	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]	superfamily	225802	148	442	1.10151e-05	48.168	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#105 - KAI2808467.1[Sodium/hydrogen exchanger 9B2 [Blomia tropicalis]]	superfamily	223104	39	457	2.35559e-13	71.5583	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#105 - KAI2808467.1[Sodium/hydrogen exchanger 9B2 [Blomia tropicalis]]	superfamily	445285	49	435	1.88335e-10	62.2724	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#106 - >gb|EZA53303.1|[Sodium/hydrogen exchanger-like domain-containing protein [Ooceraea biroi]]	superfamily	445285	115	479	1.02609e-11	66.5096	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#106 - >gb|EZA53303.1|[Sodium/hydrogen exchanger-like domain-containing protein [Ooceraea biroi]]	superfamily	223104	109	512	6.66789e-09	58.0763	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#106 - >gb|EZA53303.1|[Sodium/hydrogen exchanger-like domain-containing protein [Ooceraea biroi]]	superfamily	223551	107	515	0.000504929	42.6119	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]	superfamily	223104	43	337	1.08817e-13	71.5583	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]	superfamily	445285	43	341	6.38362e-11	62.6576	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]	superfamily	235410	42	105	0.000119183	43.6509	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]	superfamily	225802	43	251	0.00054364	41.6196	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]	superfamily	223104	40	424	3.99736e-14	73.8695	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]	superfamily	445285	45	424	7.23481e-11	63.428	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]	superfamily	235410	42	166	0.00047853	42.4953	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]	superfamily	225802	47	372	0.000547637	42.39	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#109 - KAA0184655.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	223104	28	231	3.73233e-08	53.0687	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#109 - KAA0184655.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	235410	61	119	0.000380094	40.9545	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	223104	185	348	2.73507e-09	58.4615	cl42993	NhaP superfamily	C	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	235410	187	305	2.14582e-06	49.4289	cl35306	PRK05326 superfamily	C	 - 	potassium/proton antiporter; potassium/proton antiporter.  
Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	445285	187	357	2.32294e-06	49.1756	cl01133	Na_H_Exchanger superfamily	C	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]	superfamily	225802	192	305	6.58409e-05	44.7012	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#111 - >gb|KAF6215493.1|[hypothetical protein GE061_010247 [Apolygus lucorum]]	superfamily	223104	321	707	1.21991e-24	107.382	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#111 - >gb|KAF6215493.1|[hypothetical protein GE061_010247 [Apolygus lucorum]]	superfamily	445285	324	671	4.98668e-24	104.644	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#111 - >gb|KAF6215493.1|[hypothetical protein GE061_010247 [Apolygus lucorum]]	superfamily	223551	320	657	8.98613e-08	54.9383	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]	superfamily	445285	110	461	1.67223e-24	105.03	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]	superfamily	223104	103	461	1.21203e-22	100.063	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]	superfamily	223551	107	518	7.20973e-17	82.2875	cl43152	KefB superfamily	 - 	 - 	Kef-type K+ transport system, membrane component KefB [Inorganic ion transport and metabolism]; Kef-type K+ transport systems, membrane components [Inorganic ion transport and metabolism].
Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]	superfamily	129911	150	322	1.64233e-05	47.1872	cl31030	a_cpa1 superfamily	C	 - 	Na+/H+ antiporter, bacterial form; The Monovalent Cation:Proton Antiporter-1 (CPA1) Family (TC 2.A.36) The CPA1 family is a large family of proteins derived from Gram-positive and Gram-negative bacteria, blue green bacteria, yeast, plants and animals. Transporters from eukaryotes have been functionally characterized, and all of these catalyze Na+:H+ exchange. Their primary physiological functions may be in (1) cytoplasmic pH regulation, extruding the H+ generated during metabolism, and (2) salt tolerance (in plants), due to Na+ uptake into vacuoles. This model is specific for the bacterial members of this family. [Transport and binding proteins, Cations and iron carrying compounds]
Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]	superfamily	225802	106	449	3.99909e-05	46.242	cl34572	NhaP2 superfamily	C	 - 	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism].
Q#113 - >gb|KAF6215470.1|[hypothetical protein GE061_010224 [Apolygus lucorum]]	superfamily	445285	232	623	2.74313e-25	108.111	cl01133	Na_H_Exchanger superfamily	 - 	 - 	Sodium/hydrogen exchanger family; Na/H antiporters are key transporters in maintaining the pH of actively metabolising cells. The molecular mechanisms of antiport are unclear. These antiporters contain 10-12 transmembrane regions (M) at the amino-terminus and a large cytoplasmic region at the carboxyl terminus. The transmembrane regions M3-M12 share identity with other members of the family. The M6 and M7 regions are highly conserved. Thus, this is thought to be the region that is involved in the transport of sodium and hydrogen ions. The cytoplasmic region has little similarity throughout the family.
Q#113 - >gb|KAF6215470.1|[hypothetical protein GE061_010224 [Apolygus lucorum]]	superfamily	223104	229	639	4.16228e-21	96.5963	cl42993	NhaP superfamily	 - 	 - 	NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism].
