"","Query","Hit type","PSSM-ID","From","To","E-Value","Bitscore","Accession","Short name","Incomplete","Superfamily","Definition"
"73","Q#68 - >emb|CAH1388388.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,139,482,1.42179e-18,87.7367,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"74","Q#69 - >emb|CAH1388387.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,136,448,2.41984e-10,61.9283,"cl42993","NhaP superfamily","N"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"75","Q#70 - >emb|CAH1388367.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,157,549,1.15685e-14,76.1807,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"76","Q#73 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",223104,45,442,4.32777e-18,86.5811,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"77","Q#73 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",225802,57,278,1.75983e-05,47.3976,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"78","Q#74 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,25,430,2.49145e-27,113.16,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"79","Q#74 - >emb|CAB3359964.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,55,372,2.84632e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"80","Q#75 - >emb|CAB3362979.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,58,460,4.86985e-13,70.4027,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"81","Q#76 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,535,2.55282e-26,111.619,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"82","Q#76 - >emb|CAB3360254.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,8.56327e-10,61.2647,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"83","Q#77 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,494,4.05765e-25,107.382,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"84","Q#77 - >emb|CAB3360255.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,1.03425e-09,60.8795,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"85","Q#78 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,165,523,7.29878e-26,110.078,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"86","Q#78 - >emb|CAB3360256.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,165,420,5.31267e-10,62.0351,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"87","Q#79 - >emb|CAB3364807.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,129,519,1.08723e-13,73.0991,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"88","Q#80 - >emb|CAB3364808.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,19,431,1.01227e-17,85.0403,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"89","Q#81 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,136,384,5.84183e-22,96.9815,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"90","Q#81 - >emb|CAB3360257.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,136,391,7.21672e-10,60.8795,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"91","Q#82 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",223104,165,413,9.19215e-23,99.6779,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"92","Q#82 - >emb|CAB3360258.1|[Hypothetical predicted protein [Cloeon dipterum]]","superfamily",225802,165,420,3.32994e-10,62.0351,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"93","Q#83 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]","superfamily",223104,163,544,7.91032e-27,112.775,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"94","Q#83 - >gb|TRY75264.1|[hypothetical protein TCAL_08307 [Tigriopus californicus]]","superfamily",225802,201,482,2.05206e-05,47.3976,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"95","Q#84 - >emb|CAG5095999.1|[Similar to Slc9b2: Sodium/hydrogen exchanger 9B2 (Mus musculus) [Cotesia congregata]]","superfamily",223104,179,570,7.42027e-16,80.0327,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"96","Q#85 - >gb|KAG8042441.1|[hypothetical protein G9C98_005075 [Cotesia typhae]]","superfamily",223104,174,402,3.66678e-08,54.9947,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"97","Q#87 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,338,738,4.59136e-29,120.864,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"98","Q#87 - >emb|CAH2066547.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,335,581,1.16389e-05,48.9384,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"99","Q#88 - >emb|CAH2066549.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,240,640,1.44976e-26,113.16,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"100","Q#88 - >emb|CAH2066549.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,240,483,3.32407e-05,47.0124,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"101","Q#89 - >emb|CAH2066551.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,164,564,1.64324e-24,106.611,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"102","Q#89 - >emb|CAH2066551.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,164,407,6.79686e-05,45.8568,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"103","Q#90 - >emb|CAH2076751.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,79,492,8.84098e-22,97.7519,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"104","Q#90 - >emb|CAH2076751.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,78,423,3.44024e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"105","Q#91 - >emb|CAH2076753.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,87,500,1.03631e-21,97.3667,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"106","Q#91 - >emb|CAH2076753.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",225802,86,431,3.438e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"107","Q#93 - >emb|CAH2066543.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,7.03337e-06,49.6019,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"108","Q#94 - >emb|CAH2066543.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,7.03337e-06,49.6019,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"109","Q#95 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,1.02299e-05,49.2167,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"110","Q#96 - >emb|CAH2066541.1|[unnamed protein product, partial [Iphiclides podalirius]]","superfamily",223104,83,375,1.02299e-05,49.2167,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"111","Q#97 - >gb|KAG7201324.1|[hypothetical protein KM043_004095 [Ampulex compressa]]","superfamily",223104,180,563,4.6673e-27,113.93,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"112","Q#98 - >gb|KAG7212671.1|[hypothetical protein KM043_012951 [Ampulex compressa]]","superfamily",223104,113,534,5.53712e-11,64.6247,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"113","Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,165,575,6.93846e-28,116.627,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"114","Q#99 - >emb|CAH0726637.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,165,554,4.28365e-12,68.9687,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"115","Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,90,502,6.39458e-23,101.219,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"116","Q#100 - >emb|CAH0714536.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,101,350,0.000384887,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"117","Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,82,494,5.04923e-23,101.219,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"118","Q#101 - >emb|CAH0714537.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,93,342,0.000370088,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"119","Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",223104,142,507,3.15478e-09,58.8467,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"120","Q#104 - >emb|CAH0726631.1|[unnamed protein product, partial [Brenthis ino]]","superfamily",225802,148,442,1.10151e-05,48.168,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"121","Q#105 - KAI2808467.1[Sodium/hydrogen exchanger 9B2 [Blomia tropicalis]]","superfamily",223104,39,457,2.35559e-13,71.5583,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"122","Q#106 - >gb|EZA53303.1|[Sodium/hydrogen exchanger-like domain-containing protein [Ooceraea biroi]]","superfamily",223104,109,512,6.66789e-09,58.0763,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"123","Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]","superfamily",223104,43,337,1.08817e-13,71.5583,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"124","Q#107 - KAA0203922.1[Na+/H+ antiporter, 1-like, partial [Hyalella azteca]]","superfamily",225802,43,251,0.00054364,41.6196,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"125","Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]","superfamily",223104,40,424,3.99736e-14,73.8695,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"126","Q#108 - KAA0201437.1[Na+/H+ antiporter, 3-like [Hyalella azteca]]","superfamily",225802,47,372,0.000547637,42.39,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"127","Q#109 - KAA0184655.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",223104,28,231,3.73233e-08,53.0687,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"128","Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",223104,185,348,2.73507e-09,58.4615,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"129","Q#110 - KAA0184656.1[Na+/H+ antiporter (NHA)-like [Hyalella azteca]]","superfamily",225802,192,305,6.58409e-05,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"130","Q#111 - >gb|KAF6215493.1|[hypothetical protein GE061_010247 [Apolygus lucorum]]","superfamily",223104,321,707,1.21991e-24,107.382,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"131","Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]","superfamily",223104,103,461,1.21203e-22,100.063,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"132","Q#112 - >gb|KAF6214444.1|[hypothetical protein GE061_009187 [Apolygus lucorum]]","superfamily",225802,106,449,3.99909e-05,46.242,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"133","Q#113 - >gb|KAF6215470.1|[hypothetical protein GE061_010224 [Apolygus lucorum]]","superfamily",223104,229,639,4.16228e-21,96.5963,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"134","Q#115 - >gb|KAF6215170.1|[hypothetical protein GE061_009921 [Apolygus lucorum]]","superfamily",223104,100,507,7.82096e-12,66.9359,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"135","Q#132 - >gb|KAG5673013.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",223104,115,512,1.71942e-24,105.841,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"136","Q#132 - >gb|KAG5673013.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",225802,118,355,0.000112872,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"137","Q#133 - >gb|KAG5673012.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",223104,109,506,4.56997e-24,104.3,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"138","Q#133 - >gb|KAG5673012.1|[hypothetical protein PVAND_003091 [Polypedilum vanderplanki]]","superfamily",225802,112,349,0.00013308,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"139","Q#134 - >gb|KAG5676603.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",223104,216,612,3.50639e-30,123.56,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"140","Q#134 - >gb|KAG5676603.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",225802,272,552,0.000669866,42.7752,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"141","Q#135 - >gb|KAG5676604.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",223104,217,613,4.08954e-30,123.56,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"142","Q#135 - >gb|KAG5676604.1|[hypothetical protein PVAND_006426 [Polypedilum vanderplanki]]","superfamily",225802,273,553,0.000725094,42.7752,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"143","Q#136 - >gb|KAI8130912.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",223104,304,722,4.90701e-21,96.5963,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"144","Q#136 - >gb|KAI8130912.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",225802,288,544,1.24912e-08,58.1831,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
